t	x0	y0	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15
0.57	0.950963	-0.0759743	1.06461	0.909119	1.9144	-0.242145	2.09727	0.734634	2.88471	-0.456567	3.10354	0.513124	3.86112	-0.692872	4.09403	0.273622	4.84149	-0.934726	5.07786	0.0312309	5.82375	-1.17656	6.0592	-0.210202	6.8076	-1.41542	7.03954	-0.448218	7.79153	-1.65138	8.0196	-0.679267
0.58	0.95161	-0.0752266	1.06548	0.909369	1.91481	-0.241739	2.09977	0.734153	2.88351	-0.45957	3.10756	0.5085	3.85741	-0.702902	4.09845	0.261258	4.83514	-0.954356	5.08144	0.00870665	5.81455	-1.20715	6.06142	-0.243939	6.79511	-1.45855	7.03996	-0.494852	7.77585	-1.70868	8.01743	-0.739893
0.59	0.952264	-0.0743669	1.06643	0.909654	1.91521	-0.241535	2.10234	0.733492	2.88246	-0.462518	3.11158	0.503886	3.85365	-0.712778	4.10303	0.248916	4.82845	-0.974263	5.08507	-0.0143423	5.80496	-1.23836	6.06341	-0.278489	6.78219	-1.50239	7.03989	-0.542424	7.75942	-1.76667	8.01473	-0.801426
0.6	0.952882	-0.0734716	1.06748	0.909912	1.91556	-0.241638	2.10496	0.732532	2.88148	-0.46561	3.11559	0.499101	3.84993	-0.722613	4.10765	0.236484	4.82148	-0.994352	5.08873	-0.0377558	5.7949	-1.27019	6.06516	-0.313914	6.76881	-1.54698	7.03928	-0.590977	7.74224	-1.82531	8.01147	-0.863845
0.61	0.953428	-0.072684	1.0686	0.910036	1.91586	-0.24207	2.10759	0.731217	2.8805	-0.46905	3.11957	0.493954	3.84628	-0.732579	4.11221	0.223811	4.81433	-1.01455	5.09237	-0.0614125	5.78434	-1.30258	6.06667	-0.350224	6.75485	-1.59235	7.03814	-0.640506	7.72429	-1.88456	8.00759	-0.927133
0.62	0.953881	-0.0721611	1.06977	0.909906	1.91608	-0.242828	2.11023	0.729513	2.87944	-0.473019	3.12349	0.488272	3.84267	-0.742878	4.11662	0.210736	4.80708	-1.03485	5.09594	-0.0853003	5.77327	-1.33546	6.06792	-0.387318	6.74022	-1.63843	7.0365	-0.690965	7.70555	-1.9444	8.00302	-0.991271
0.63	0.954232	-0.0720089	1.07095	0.909437	1.91621	-0.243943	2.11286	0.727372	2.87829	-0.47764	3.1273	0.481916	3.83904	-0.753702	4.12085	0.19711	4.79975	-1.05531	5.09939	-0.109523	5.76176	-1.36869	6.06893	-0.425003	6.72489	-1.68512	7.03433	-0.742265	7.68604	-2.00481	7.99769	-1.05625
0.64	0.954466	-0.0722433	1.07216	0.908604	1.9162	-0.24552	2.1155	0.724701	2.877	-0.482976	3.131	0.474794	3.83534	-0.765203	4.12486	0.182806	4.79233	-1.07611	5.10262	-0.134245	5.74992	-1.40214	6.06968	-0.46307	6.70892	-1.73226	7.03161	-0.794276	7.66573	-2.06578	7.9915	-1.12204
0.65	0.954561	-0.0727969	1.07345	0.907436	1.91601	-0.247708	2.11814	0.721383	2.87555	-0.489058	3.13459	0.466853	3.83151	-0.777486	4.12865	0.167705	4.7848	-1.09745	5.10553	-0.159612	5.73786	-1.43574	6.07012	-0.50139	6.69239	-1.77969	7.02832	-0.846837	7.64462	-2.12729	7.98439	-1.18864
0.66	0.954489	-0.0735705	1.07488	0.905984	1.9156	-0.250633	2.1208	0.717312	2.87389	-0.495925	3.13808	0.458053	3.82748	-0.790629	4.13219	0.151695	4.77718	-1.11952	5.10797	-0.18571	5.72565	-1.46949	6.07014	-0.539957	6.6753	-1.82725	7.0245	-0.899788	7.62269	-2.18932	7.9763	-1.25602
0.67	0.954235	-0.0744948	1.07649	0.904281	1.91491	-0.254339	2.12349	0.712432	2.87201	-0.503652	3.14146	0.448338	3.82323	-0.804715	4.13544	0.134668	4.76944	-1.14244	5.1099	-0.212578	5.7133	-1.50349	6.06966	-0.578864	6.65765	-1.8749	7.0202	-0.953018	7.5999	-2.25183	7.96718	-1.32413
