t	x0	y0	x1	y1	x2	y2
3.16	0.227231	0.969534	-0.959719	-0.301125	0.726559	-0.696086
3.17	0.12925	0.990078	-0.929126	-0.395614	0.793286	-0.623569
3.18	0.030595	1.00034	-0.888493	-0.484907	0.851685	-0.54358
3.19	-0.0679546	0.997638	-0.83591	-0.567178	0.898971	-0.455424
3.2	-0.165565	0.984199	-0.773964	-0.643063	0.936672	-0.361298
3.21	-0.261889	0.964023	-0.706617	-0.714566	0.968061	-0.264083
3.22	-0.35622	0.937507	-0.6348	-0.781558	0.992919	-0.165244
3.23	-0.446659	0.901156	-0.556562	-0.840798	1.00694	-0.0653655
3.24	-0.53143	0.852568	-0.470856	-0.889513	1.00695	0.0345215
3.25	-0.610888	0.793712	-0.379499	-0.928838	0.995047	0.133187
3.26	-0.686711	0.728295	-0.285271	-0.961959	0.975856	0.230033
3.27	-0.758529	0.657338	-0.189569	-0.989103	0.950731	0.32453
3.28	-0.822699	0.579023	-0.0926197	-1.0064	0.916579	0.415174
3.29	-0.875733	0.492444	0.00510469	-1.01058	0.870606	0.500325
3.3	-0.918164	0.399789	0.102794	-1.00318	0.814285	0.580151
3.31	-0.953268	0.304409	0.200001	-0.988369	0.751417	0.656298
3.32	-0.981969	0.208097	0.296173	-0.96724	0.683547	0.728854
3.33	-1.00094	0.111071	0.389613	-0.936407	0.609069	0.79479
3.34	-1.00676	0.0136257	0.478209	-0.892672	0.526655	0.850797
3.35	-1.00058	-0.0834308	0.561513	-0.837391	0.43779	0.897077
3.36	-0.986682	-0.179556	0.640823	-0.774843	0.345322	0.936539
3.37	-0.966898	-0.274368	0.716293	-0.707292	0.250791	0.969986
3.38	-0.938481	-0.366693	0.784981	-0.63349	0.154248	0.993931
3.39	-0.898187	-0.454932	0.843243	-0.551989	0.0559567	1.00447
3.4	-0.846813	-0.538819	0.890783	-0.464177	-0.0430568	1.00217
3.41	-0.788165	-0.619591	0.930574	-0.37318	-0.141902	0.991203
3.42	-0.724319	-0.697362	0.964301	-0.280911	-0.239976	0.973732
3.43	-0.653851	-0.769122	0.989499	-0.187366	-0.335961	0.947223
3.44	-0.574984	-0.830948	1.00258	-0.092262	-0.427855	0.908218
3.45	-0.488837	-0.882137	1.00369	0.00398968	-0.514686	0.857314
3.46	-0.398549	-0.925494	0.996527	0.100876	-0.597196	0.798712
3.47	-0.306189	-0.962832	0.983197	0.198016	-0.675699	0.735372
3.48	-0.211814	-0.991645	0.961262	0.294277	-0.747895	0.666508
3.49	-0.115198	-1.00778	0.927034	0.387689	-0.810415	0.590252
3.5	-0.0170693	-1.01071	0.880628	0.47705	-0.862627	0.507195
3.51	0.0815085	-1.00413	0.82592	0.562818	-0.907266	0.420062
3.52	0.179764	-0.991084	0.765811	0.64521	-0.946342	0.330736
3.53	0.27657	-0.970131	0.699407	0.721849	-0.977678	0.239057
3.54	0.370122	-0.937871	0.624561	0.788917	-0.997162	0.144407
3.55	0.459229	-0.894011	0.541753	0.845022	-1.00396	0.0471553
3.56	0.544303	-0.842092	0.454076	0.892457	-1.00151	-0.0517851
3.57	0.625824	-0.785187	0.364032	0.933558	-0.992734	-0.151633
3.58	0.702021	-0.722719	0.271806	0.966845	-0.975989	-0.251133
3.59	0.769606	-0.652443	0.176731	0.988499	-0.94726	-0.348101
3.6	0.827326	-0.574276	0.079113	0.997393	-0.905645	-0.440698
3.61	0.877386	-0.490681	-0.0199325	0.996706	-0.854713	-0.528771
3.62	0.922095	-0.403704	-0.119367	0.989689	-0.798241	-0.612725
